trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.35, 'e': 0.47099999999999964}",20,8,12.549705637113666,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.35, 'e': 0.46799999999999964}",25,17,-23.98298470926335,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.35, 'e': 0.46499999999999964}",30,21,-31.012530137061784,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.35, 'e': 0.46199999999999963}",20,0,9.850917329886302,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
147,False,"{'a': 0.35, 'e': 0.45899999999999963}",20,7,-41.08060199184957,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.35, 'e': 0.45599999999999963}",30,20,10.624638715140831,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.35, 'e': 0.4529999999999996}",30,21,18.924204965165988,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.35, 'e': 0.4499999999999996}",25,0,-171.99760116035503,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
151,False,"{'a': 0.35, 'e': 0.4469999999999996}",25,10,-35.48623937738952,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
152,False,"{'a': 0.35, 'e': 0.4439999999999996}",30,13,17.774947065893265,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.35, 'e': 0.4409999999999996}",20,9,-6.556710492490135,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.35, 'e': 0.4379999999999996}",20,1,-25.35117392280677,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.35, 'e': 0.4349999999999996}",35,22,-27.237366847037023,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
156,False,"{'a': 0.35, 'e': 0.4319999999999996}",20,8,-0.4683298674191603,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.35, 'e': 0.4289999999999996}",25,11,13.132742175249602,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.35, 'e': 0.4259999999999996}",30,15,5.586656525926461,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.35, 'e': 0.4229999999999996}",25,20,9.237096547841656,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.35, 'e': 0.4199999999999996}",30,12,7.2634605680431,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.35, 'e': 0.4169999999999996}",25,0,0.8480451479998308,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
162,False,"{'a': 0.35, 'e': 0.4139999999999996}",20,14,-1.7018062455772185,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.35, 'e': 0.4109999999999996}",25,20,7.639490076813972,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.35, 'e': 0.4079999999999996}",35,6,-21.275212746254983,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 0}",1
165,False,"{'a': 0.35, 'e': 0.4049999999999996}",20,3,-36.76724456571391,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
166,False,"{'a': 0.35, 'e': 0.4019999999999996}",20,15,10.61771868145323,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.35, 'e': 0.3989999999999996}",20,13,14.433482412541055,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.35, 'e': 0.3959999999999996}",25,13,-25.35653202904928,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.35, 'e': 0.39299999999999957}",35,15,21.910486510457705,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.35, 'e': 0.38999999999999957}",30,0,-34.46126660148229,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
171,False,"{'a': 0.35, 'e': 0.38699999999999957}",25,17,11.339412980746731,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.35, 'e': 0.38399999999999956}",20,7,-5.457290761421621,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.35, 'e': 0.38099999999999956}",35,19,10.479960489417824,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.35, 'e': 0.37799999999999956}",25,13,21.65082526148983,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.35, 'e': 0.37499999999999956}",20,10,4.908534228994366,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.35, 'e': 0.37199999999999955}",25,0,-24.83641618341188,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
177,False,"{'a': 0.35, 'e': 0.36899999999999955}",25,16,1.913879696013494,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.35, 'e': 0.36599999999999955}",20,1,-4.4525964680012615,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
179,False,"{'a': 0.35, 'e': 0.36299999999999955}",25,0,5.3533310307441475,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
180,False,"{'a': 0.35, 'e': 0.35999999999999954}",20,4,-77.36126862049436,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
181,False,"{'a': 0.35, 'e': 0.35699999999999954}",20,15,2.778192962964477,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.35, 'e': 0.35399999999999954}",25,11,-64.77024777877533,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
183,False,"{'a': 0.35, 'e': 0.35099999999999953}",30,0,-50.24677055730694,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
184,False,"{'a': 0.35, 'e': 0.34799999999999953}",20,0,19.990898572909007,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
185,False,"{'a': 0.35, 'e': 0.34499999999999953}",20,7,-2.8645870898870993,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
