trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.5, 'e': 0.5083746836175631}",20,9,-37.15529165241883,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.497571047891727}",25,0,-38.14137680810919,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.48668966770196337}",20,0,-82.29941198570324,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.4757322432417888}",25,0,-99.94553041226874,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.4647004865864822}",25,17,2.7856062112951,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.4535961214255773}",20,14,0.44268744274428173,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.44242088279353853}",25,11,9.996293780347766,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4311765167986662}",30,12,-13.293887814029976,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.4198647803502703}",25,17,-9.99956942849994,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.40848744088415717}",25,11,-44.6345412806599,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.3970462760864716}",25,11,21.674109545301942,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.385543073615936}",20,14,0.35721598608913374,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.37397963082453317}",20,0,-77.70700364227184,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.3623577544766734}",20,3,-10.65678761860304,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.35067926046689174}",25,0,-38.29441274422763,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.3389459735361172}",30,21,8.145136463985466,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.3271597269865614}",35,18,28.051367528291017,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3153223623952687}",25,11,-50.16230661974718,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.3034357293263731}",20,10,-34.39385084184364,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.2915016850421088}",25,12,9.746172223972595,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.27952209421261537}",20,0,-27.37778679133616,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.26749882862458735}",20,11,6.456236107566604,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.2554337668888117}",20,8,-2.102655389921619,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.24332879414663805}",30,20,10.357527981665552,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.23118580177543036}",20,7,-20.421186542878505,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.2190066870930415}",20,0,-23.59270321138855,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.20679335306136226}",20,7,-30.773565208779758,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.19454770798898718}",20,6,6.197929301487007,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.18227166523304486}",20,8,5.346596021577037,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.16996714290024081}",30,21,19.600396897960387,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.1576360635471558}",25,17,13.976593689759122,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.14528035387985133}",20,6,1.311740664658052,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.1329019444528252}",20,9,20.545576189369815,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.12050276936736638}",30,16,27.693612989423425,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.10808476596935639}",20,8,23.56785632160552,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.09564987454656154}",25,11,24.936536367191483,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.08320003802546795}",30,16,-8.816690437342194,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.0707372016677029}",35,15,39.387456578149695,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.05826331276609153}",30,20,4.090838935563738,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.04578032034039706}",25,15,22.091848083015996,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,8,39.400729184483446,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,16,15.460725016968999,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,16,8.10977510680229,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,13,22.97922249339684,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",35,18,30.30656478983924,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,24,11.490609621868101,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,16,27.743174699091778,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,16,14.805502874043723,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,18,26.49668085931671,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,13,32.12039055257059,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",25,15,18.012990098086412,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,20,9.653961463873108,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",20,14,10.002799252706499,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",30,22,15.706664729819472,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
