trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.45, 'e': 0.6596074232001722}",20,0,-16.565562437684754,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.45, 'e': 0.644253119233516}",30,13,-14.040799703889313,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.45, 'e': 0.628634640249695}",20,11,-49.85474510614969,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.45, 'e': 0.6127583905823947}",25,6,-25.481180199544884,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.45, 'e': 0.5966308802637799}",20,0,-46.560334470431926,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.45, 'e': 0.580258722355065}",25,1,-23.96913298335682,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 0}",1
48,False,"{'a': 0.45, 'e': 0.5636486302348395}",20,0,-99.48635572103426,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.45, 'e': 0.5468074148462554}",20,15,10.461115699991261,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.45, 'e': 0.5297419819042124}",20,0,-25.36608836496956,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
51,False,"{'a': 0.45, 'e': 0.5124593290636781}",20,7,-40.92287534401403,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 0}",1
52,False,"{'a': 0.45, 'e': 0.49496654305031157}",25,0,-73.57689163604297,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.45, 'e': 0.47727079675456086}",25,9,-17.27844701306226,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.45, 'e': 0.4593793462904314}",30,0,-5.9836149762811965,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
55,False,"{'a': 0.45, 'e': 0.4412995280201272}",20,12,14.918955159097159,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.45, 'e': 0.42303875554578513}",25,9,-24.999760327073346,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.45, 'e': 0.40460451666954106}",20,6,20.340676252906896,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.45, 'e': 0.38600437032316554}",20,3,-12.606708787287086,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
59,False,"{'a': 0.45, 'e': 0.36724594346853723}",30,0,-100.64027518060621,"{0: 22, 1: 4, 2: 1, 3: 1, 4: 2}",1
60,False,"{'a': 0.45, 'e': 0.348336927970217}",30,15,9.463950266345044,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.45, 'e': 0.329285077441412}",25,13,-15.025289152422914,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.45, 'e': 0.310098204064617}",35,24,8.09144712472018,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.45, 'e': 0.290784175388242}",25,13,8.815771199411506,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.45, 'e': 0.2713509111005347}",30,15,-79.89551960850169,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
65,False,"{'a': 0.45, 'e': 0.2518063797821252}",30,17,1.4476498718720685,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.45, 'e': 0.2321585956385215}",25,6,4.537738534859155,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.45, 'e': 0.21241561521389568}",25,10,5.297632328752359,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
68,False,"{'a': 0.45, 'e': 0.19258553408751172}",25,10,30.189236254773412,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.45, 'e': 0.17267648355414386}",20,6,20.388940918545725,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.45, 'e': 0.15269662728985295}",25,16,17.361550032363848,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.45, 'e': 0.132654158004482}",20,10,17.79593113188411,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.45, 'e': 0.11255729408224939}",20,13,10.013525555997607,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.45, 'e': 0.09241427621181125}",35,23,23.13891269345416,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.45, 'e': 0.07223336400718122}",20,8,26.278698280189587,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.45, 'e': 0.05202283262088651}",20,14,9.641604625484183,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.45, 'e': 0.03179096935075561}",30,16,25.89245399317958,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,20,21.982234978023588,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,15,20.281066461004905,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,8,24.300390210734896,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,14,11.99909458897908,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,21,16.883860642593607,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,13,23.022726744237687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
